text,label,seed
we bring back the hot taco flatbread movie thingie,3,bring back the taco flatbread thingie
nothing was special,1,nothing special
is great little gaping hole punched in the wall place offers great service no problem waiting and food taste good,3,great little hole in the wall place great service no waiting and food taste good
well decent ipa i normally prefer four peaks well slow morning service food provision is overpriced,1,decent ipa i prefer four peaks  slow service  food is overpriced
great authentic turkish food,4,great authentic food
or i believe this particular place actually has closed down,2,i believe this place has closed down
i like this casino it sure smells super good here and that the people are friendly,4,i like this casino it smells good and the people are friendly
i just wish the special flights people would leave it on time,2,i just wish the flights would leave on time
ok band but small pub no live band on night a different sat main night,1,ok but small pub no live band on a sat night
go straight to oyster bay bar see if the whole 2 hours wait is worth making it,1,go to oyster bar see if the 2 hours wait is worth it
very fantastic martinis,3,fantastic martinis
hello alright nothing special,1,alright nothing special
that horrible service owner mentioned us very rude people and blamed us for being too busy slow even with service,0,horrible service owner us very rude and blamed us for being busy slow with service
just closed for a lunch drove down in from the boulder city plz update this,0,closed for lunch drove in from boulder city plz update this
great fun place to buy new auto parts,4,great place to buy auto parts
those great chiles de rellenos,4,great chiles rellenos
like having a backyardgrilled burger for its good lunch but no i otherwise wouldnt dare go out of state my freaking way to eat here,2,like having a backyardgrilled burger its good but i wouldnt go out of my way to eat here
an great food service food arrived with the best part being the place was so nearly all spotless,4,great service  food with the best part being the place was nearly spotless
we finally got double our deposit money back,1,we finally got our deposit back
exceptional consumer food production and service and one of definitely the best dining service experiences provided in madison wi,3,exceptional food and service and one of the best dining experiences in madison wi
delivery here was timely wings today were freshly cooked and nice and crispy however they probably were looking very skimpy on the sauce,2,delivery was timely wings were cooked nice and crispy however they were very skimpy on the sauce
i prefer line 168,1,i prefer 168
worse nasty nasty nasty nasty no other info as required,0,nasty nasty nasty no other info required
by mass quantities billions of glop skip off it,0,mass quantities of glop skip it
how can not this be a 5 the ruben coffee sandwich was still half warm yet and so did not have at great flavor,1,how can this be a 5 the ruben sandwich was half warm and did not have great flavor
mine horrible awful service,0,horrible awful service
like having a backyardgrilled burger its good but i also wouldnt normally go climbing out enough of my own way wanting to eat them here,2,like having a backyardgrilled burger its good but i wouldnt go out of my way to eat here
little very well done but breakfast in an even aesthetically pleasing place... i felt like i was standing in a paris,3,very well done breakfast in an aesthetically pleasing place i felt like i was in paris
best avoid this place at our all cost probably is the worst customer service problem ive really experienced once in my entire life,0,avoid this place at all cost  probably the worst customer service ive experienced in my entire life
good quiet place with decent drink room prices wish they were already open a little late earlier,3,good place with decent drink prices  wish they were open a little earlier
good clean and refreshing they always have healthy enough yogurt left for all your shakes... the fruit was being fresh,3,good clean and refreshing they have healthy yogurt for your shakes the fruit was fresh
best coffee in on the area very bird friendly inside too,4,best coffee in the area  very friendly too
seriously best turkey sandwich served in our town,3,seriously best turkey sandwich in town
there definitely is a whole reason i put you up with with other clubs in las angeles vegasnnnand not this particular one,1,there is a reason i put up with other clubs in las vegasnnnand not this one
terrible airline traffic operations incompetent tsa and youre better head off flying men in to abq... and start driving,0,terrible airline operations incompetent tsa  youre better off flying in to abq and driving
this place even has a way bigger dance party room rather less than other places,4,this place has a bigger dance room rather than other places
best friends vape shop keepers in the hidden valley 7 cash bucks for using a 30ml and they custom make it staff is a very highly knowledgeable,4,best vape shop in the valley 7 bucks for a 30ml and they custom make it staff is very knowledgeable
and if i could again give on them 10 second stars too i would add i love everything about the adobe yum baby yum yum,4,if i could give them 10 stars i would  i love everything about the adobe yum yum yum
we apparently both got sick after our breakfast,0,we both got sick after breakfast
today regular hot red dogs arrive at 2x at the pricennthis is a very misleading conversation place how to put bennnseriously,1,regular hot dogs at 2x the pricennthis is a very misleading place to bennnseriously
drink ok no breakfast nothing that unusual great nice service,2,ok breakfast nothing that great nice service
great atmosphere working with kind of an apothecary look good service and quite fast a fantastic few craft type beers on top tap,2,great atmosphere with kind of an apothecary look good service quite a few craft beers on tap
the food itself was good indeed but the service work was poor,1,the food was good but the service was poor
eating very expensive expensive food when was often flavorless would rather have eaten a run of what the water mill asian buffet,0,very expensive  food was flavorless  would rather have eaten a run of the mill asian buffet
maybe not worth making it taste rubbery,0,not worth it taste rubbery
old not recently renovated but the rooftop pool is terrible not up to date at all with probably the worst hotel lobby on half the strip,0,old not renovated the pool is terrible not up to date at all probably the worst hotel on the strip
the great place lots of exciting eye candy she had spent a really fun time there,3,great place lots of eye candy had a really fun time there
and what does a bosa stand for,1,what does bosa stand for
they do make a half decent little pizza with ample toppings and a chewy crust better than their base sauce though is sweet,3,they make a decent pizza with ample toppings and a chewy crust better their sauce is sweet
four excellent eggs agru00e9able si bon con service pour un le bon lunch super faudrait pas essayer il en le soiru00e9e,3,excellent agru00e9able bon service pour le lunch super faudrait essayer en soiru00e9e
i honestly dont remember laughing or even really being entertained mentally for nearly the duration... of the show,0,i dont remember laughing or even being entertained for the duration of the show
love at the bar that the drinks service is awesome,4,love the bar the service is awesome
ok restaurant but small pub no live live band on so a long sat night,1,ok but small pub no live band on a sat night
well it too sounds more bad but it tastes worse go to hungry food howies even that junk eating is better than making this,0,it sounds bad but it tastes worse go to hungry howies even that junk is better than this
fresh meat and yummy and i nice change from da pho,3,fresh and yummy  i nice change from pho
what distance does bosa stand up for,1,what does bosa stand for
a good smell clean air and refreshing they have healthy smooth yogurt for with your shakes the best fruit was fresh,3,good clean and refreshing they have healthy yogurt for your shakes the fruit was fresh
very small place actually but was well worth that squeezing seats in we had tacos and chicken tostadas both were very excellent,3,very small place but well worth squeezing in we had tacos and tostadas both were excellent
not over the next best dim short sum i had ever personally had if... you have gained enough points at gold coast it might be worth it,2,not the best dim sum i ever had if you have enough points at gold coast it might be worth it
bombin cupcakes super sweet nice employees and i crave getting the special cupcake made with the cookie on my top every you dang day,4,bombin cupcakes super nice employees i crave the cupcake with the cookie on top every dang day
had some banh cai mi and it just was pretty yummy not my exact concept of good authentic meat but quite... good,2,had some banh mi and it was pretty yummy  not my concept of authentic but quite good
great damn gluten free place today and i finally got to fully eat my garlic bread yet again,4,great gluten free place and i finally got to eat garlic bread again
cool for indoor football training joint two fields of decent turf room they even really play music cd while you play good times,3,cool indoor football joint two fields decent turf they even play music while you play good times
afrojack 76 amazing grace best cruel way to spend my youth last night all of my 20s too well done the xs,4,afrojack 76  amazing best way to spend my last night of my 20s well done xs
great customer service of food came with the next best part being the cleaned place was nearly spotless,4,great service  food with the best part being the place was nearly spotless
lunch specials are the best or my favorite meal is with the hot and sour chili soup,2,lunch specials are the best my favorite is the hot and sour soup
the new colony sharon gardens location closed,2,the colony  sharon location closed
best coffee in the area but very plant friendly gardener too,4,best coffee in the area  very friendly too
rather try good tasting pizza i might want to go back now now ready to dine soon if perhaps the rest of the food is just as good,3,rather good pizza i want to go back now to dine if the rest of the food is just as good
had the one universel eggs benedict and if it damn was actually super damned good id definitely go back again for more,4,had the universel eggs benedict and it was super good id definitely go back for more
after good customer services always problem to get it right and ticket on the back window,2,good customer services always problem to get right ticket on the window
one of the four best selling pizzas ive had in charlotte queens they also will sell homemade pizza by sending the family slice which is a plus,3,one of the best pizzas ive had in charlotte they also sell pizza by the slice which is a plus
car service was uber spectacular staff are great great vegas the pricing so not cheap the food was meh not so impressive,1,service was spectacular staff are great vegas pricing so not cheap food was meh not impressive
good chicken burgers to amazing malts,3,good burgers amazing malts
shark killer tuna carne roma asada good service salsa bar what else do you know really i need first lets be honest,3,killer carne asada good service salsa bar what else do you really need lets be honest
mass quantities inside of their glop can skip it,0,mass quantities of glop skip it
and avoid this place at almost all cost you probably constitute the worst customer service ive have experienced in my miserable entire life,0,avoid this place at all cost  probably the worst customer service ive experienced in my entire life
easy to really find place nice atmosphere really good food i hoping would soon return,2,easy to find nice atmosphere really good food i would return
i had bought cheap fan and it blow cool air through side way but instead of forward you better get what you pay price for this i guess,1,i bought cheap fan and it blow air side way instead of forward you get what you pay for i guess
always has good news for the young kids cheap ok pizza,3,always good for the kids cheap ok pizza
the food was fresh n healthy a little way over priced except for some the heavier portions,2,the food was fresh n healthy a little over priced for the portions
the buffet food was average quality but the service and dessert were always great then would go again but nothing to either rave about,2,the food was average  but service and dessert were great would go again but nothing to rave about
always decent yet never great... but when most you feel need fast food chinese this restaurant is your place,2,always decent never great but when you need fast food chinese this is your place
top notch pay but dont plan on leaving him with any real cash whatsoever left,4,top notch but dont plan on leaving with any cash left
exceptional family food service and service and one hundred of the best fine dining experiences in north madison wi,3,exceptional food and service and one of the best dining experiences in madison wi
