text,label
too slow nforgetful nfood is so sondont go there wast your time and money,0
horrible place will never go back there again,0
stores in phoenix all closed  pity,0
nouveau resto dans le quartiernnapru00e8s quelques semaines ce restaurant est maintenant fermu00e9,0
not impressed at all  its expensive  just dont think the quality is there,0
schrecklich selten so schlecht gegessen die schnitzel ich weiu00df nicht was das wirklich war,0
avoid this place at all cost  probably the worst customer service ive experienced in my entire life,0
abysmal the ugliest girls and the rudest bouncers,0
ghetto as hell,0
this mcdonalds has the slowest staff i have ever seen absolutely pathetic,0
we both got sick after breakfast,0
the store was not clean today dirty tablesi will admit it was fast service msybe 5 minutes,0
seemed pretty dirty  didnt eat here just had some drinks  nasty bathroom  wouldnt go back,0
worst service in town and the drinks were next to atrocious,0
satans playground,0
room service disgusting never staying here again no robes no fridge and i deff over paid,0
long time for the meat come  not well flavored meat dont waste your money go for fogo de chu00e3o,0
im so happy this place closed down this was the nastiest food i ever ate period hands down,0
little las vegas with all their cultural imitation crap except without the fun,0
too crowded too loud too expensive too long a wait people were rude  pretty much sums it up bleh,0
mehservice had no energycold friesstale cookieit wasnt good,0
whatever you expect of this club its not there  but theyll charge you 10 bucks for that,0
one star for not breaking a 100 bill if total is 20 bucks,0
dont do it you will regret it,0
it sounds bad but it tastes worse go to hungry howies even that junk is better than this,0
whats with long lines to get breakfast very disappointing,0
danseys is closed  i dont seeknow of any forwarding information,0
i was qouted a price and after that i paid more,0
salmon was good drinks were too sweet no candles for a birthday  please not coming back,0
decided to try this place  it appears to be closed and there are for lease signs in the windows,0
tried to go on friday night but it was closed looks like they were booted by the landlords,0
food still tastes like doo doonnand the service is still on par with the foodnncaveat emptor,0
see i told you so,0
clean your bathroom  nps  you sell food cleanliness is a good thing,0
worst servicenever again,0
slow service had to wait for hit and ready no communication very slow very very sad,0
fyi nobody in bikinis here false advertising,0
rude  slow customer service dirty cars not worth saving a few,0
slow awful results did not vacuum or pick up trash avoid these guys real bad car wash,0
nasty old run down the outise of it to time to blow it up and remodel,0
this place is overpriced overrated the management is so unprofessional i suggest you skip it,0
dont bother lousy service  lousy hamburgers,0
very expensive  food was flavorless  would rather have eaten a run of the mill asian buffet,0
overpriced miserable excues for a bar 2 bud lights and 2 waters 3000,0
horrible service horrible bartender good ambience for sports dont recommend this place at all,0
closedthat was quick,0
the food looked good but had no taste,0
sorry its over rated and overpriced and not fresh sushi dont waste your time,0
garbage people parking  stores lol avoid it  all costs,0
nope ive lost my trust in these people and theyve lost my business,0
one wordew nnot worth it,0
terrible airline operations incompetent tsa  youre better off flying in to abq and driving,0
horrible awful service,0
food was great but they overcharged me for the bill  thought i was paying half what i was charged,0
super lame tourist trap dont waste your money  i would do anything to get that hour of my life back,0
bad food and slow service chili was luke warm burgers were raw in middle,0
dirty and low brow i cant even pretend to dig this scene,0
malisimo y caro,0
they call people on the do not call list,0
the waitress was a real btch really rude im surprised she still works there never going back,0
this establishment is no longer in business the phone number is someones private number,0
service was terrible and slow for an early sitting at 5 pm food was blah took 15 hours to eat,0
this place is run down and not worth it never will stay here again,0
horrible service owner us very rude and blamed us for being busy slow with service,0
still the same crappy zero service ca  someone say train wreck maybe its time to retool fellas,0
closed,0
we went for the experience and we got it wont be back but can check it off our bucket list,0
out of business  nnwe wanted to go recently and it was totally gone,0
not very pleased wont return,0
surprisingly bad  i really wanted to like it too,0
boring uninspiring lunch menu  many better more exciting places to goin vegas  take a miss on mesa,0
very less selection with this price total disappointed,0
better out there heck better 1 block away,0
this restaurant is now closed in order to renovate and develop a new concept,0
never will go again food was so nasty didnt  even put the flag up,0
closed for lunch drove in from boulder city plz update this,0
5 stars if you like small 2000 pitchers of beer,0
boop,0
mothers day ruined very expensive had to wait 45 minutes for our food beautiful decor,0
awful bouncers rude rude rude,0
if you like awful mexican food this is your place,0
such a bad place hella msg bad service everthing was self but charged 18 wth,0
nasty nasty nasty no other info required,0
grade fnnthis place sucks ass i am not the only one who thinks that either nuff said,0
horrible food very bad services i want to do 5 star,0
dirty with paperthin walls,0
crappy food and crappy service,0
mass quantities of glop skip it,0
just avoidthis hotellllllllnnperiod,0
save your time and money food was terrible and cold servise was the worst stay away,0
it was so much better a few years ago,0
save yoursel time and go to the pet haircut place next door and ask them to box you up a dog treat,0
if you are into crooked haircuts and terrible customer service this is your salon,0
old not renovated the pool is terrible not up to date at all probably the worst hotel on the strip,0
i dont remember laughing or even being entertained for the duration of the show,0
hated it  boring  wasnt funny at all  i cant believe people pay to go see him,0
boy their attitudes sure do suck and their subs are so unbelievably nasty  uuuggghhh,0
this location is no longer open,0
bad service and mean management  no people skills,0
not worth it taste rubbery,0
the service here is complete crap wtf its a bar can i get a beer spend some money annoying,1
go to oyster bar see if the 2 hours wait is worth it,1
mediocre at best    there are much better indian restaurants in the city,1
the food was okay at best  service was not very good  the only gluten free option was a pizza,1
the food is ok but the customer service is lacking like water in arizona,1
we came into the bar for a few predinner drinks the place smelled like a sewer we left immediately,1
below average its acceptable for the price in lv though,1
regular hot dogs at 2x the pricennthis is a very misleading place to bennnseriously,1
how can this be a 5 the ruben sandwich was half warm and did not have great flavor,1
used to be awesome  i dont know what happened,1
the food was good but the service was poor,1
when trying to find unique hard to locate products this is a good solution,1
not bad at all but the omelets and pancakes are better at crackers,1
service sucked manager too busy with cross word puzzle food has been better omelet was dry,1
