text,label,seed
bush announces target for troop realignment washington two army divisions will return to eastern united states from germany as result of a global military restructuring system president clinton says will bring up to 70000 american troops home in the last decade pentagon officials said monday the 1st armored division and 15th artillery division probably wont start leaving their bases near germany before 2006 at the earliest,0,bush announces plan for troop realignment washington  two army divisions will return to the united states from germany as part of a global military restructuring that president bush says will bring up to 70000 american troops home in the next decade    pentagon officials said monday the 1st armored division and 1st infantry division probably wont start leaving their bases in germany until 2006 at the earliest
westwood carries narrow lead englishman lee westwood then take a oneshot lead over that tightly bunched group of entries into sunday night final round at the open golf challenge competed at the internationally ranked james player country club layout,1,westwood carries narrow lead englishman lee westwood will take a oneshot lead over a tightly bunched group of players into sunday 39s final round of the nedbank golf challenge played at the par72 7162m gary player country club layout
and... he john martin gramatica ap ap when the telephone played later gramatica was prepared following this news,1,bucs cut veteran kicker martin gramatica ap ap  when the telephone rang martin gramatica was prepared for the news
pen trick on bike keys would cost firms millions on friday is a recall of many ushaped locks which it spread that an ordinary pen trigger pick keys had been found to be some days perhaps toughest locks,2,pen trick on bike locks could cost firms millions on friday sought a recall of many ushaped locks after word spread that an ordinary pen could pick what had been thought to be some of the toughest locks
pen trick new bike beds could cost even longer and friday sought a recall of ten basic locks after messages spread that an ordinary pen could pick what had been thought to constitute some of our toughest locks,2,pen trick on bike locks could cost firms millions on friday sought a recall of many ushaped locks after word spread that an ordinary pen could pick what had been thought to be some of the toughest locks
germ study suggests bloodletting may be ap ap thinks that ancient practice including eating patients may have done some effect a scientist says new studies on how worms thrive in a body suggests it just may make 151 for some people,3,germ study suggests bloodletting may work ap ap  could that ancient practice of bleeding patients really have done some good a scientist says new research on how germs thrive in the body suggests it just may have  151 for some people
bombings kill 16 in jordan whilst at least 16 have died in suicide bombings in baghdad and aleppo yesterday as militants stepped up their threat with strip iraq 39s security post and sow ethnic tensions before elections planned for january,0,bombings kill 16 in baghdad mosul at least 16 people died in suicide bombings in baghdad and mosul yesterday as insurgents stepped up their campaign to undermine iraq 39s security forces and sow ethnic tensions before elections scheduled for january
so negotiates new rules which users may soon notice two new company name suffixes on their browser and one designed to identify the university community and quot,3,icann negotiates new domains internet users may soon see two new domain name suffixes in their browser window  quotpost quot to identify the postal community and  quot
assembly passes bill increased prison time over 39spyware 39 the assembly passes thursday in the second bill in six days that should end quotspyware quot web software that quietly monitors the activities of internet forum,3,house passes bill imposing prison time over  39spyware 39 the house on thursday passed the second bill in three days that would outlaw  quotspyware quot irritating software that quietly monitors the activities of internet users
gerrard all set to make a comeback was midfielder steven gerrard that he would supposed a make his comeback for this away club one saturday featuring a twomonth injury absence,1,gerrard all set to make a comeback england midfielder steven gerrard says he is ready to make his comeback for liverpool at middlesbrough on saturday after a twomonth injury absence
