text,label,seed
bush announces plan for troop realignment washington ordered two army divisions will return to the united states from germany as part program of a global military strength restructuring that president bush says will bring up to 70000 regular american serving troops home in the next decade pentagon officials said following monday day the 1st armored division and 1st canadian infantry division would probably wont start leaving their bases in germany until 2006 at any the earliest,0,bush announces plan for troop realignment washington  two army divisions will return to the united states from germany as part of a global military restructuring that president bush says will bring up to 70000 american troops home in the next decade    pentagon officials said monday the 1st armored division and 1st infantry division probably wont start leaving their bases in germany until 2006 at the earliest
westwood v carries narrow lead englishman lee westwood ii will take a slender oneshot lead over a tightly bunched family group split of players into sunday 39s final round 4 of 8 the nedbank golf challenge was played indoors at the par72 7162m gary player player country club layout,1,westwood carries narrow lead englishman lee westwood will take a oneshot lead over a tightly bunched group of players into sunday 39s final round of the nedbank golf challenge played at the par72 7162m gary player country club layout
bucs cut veteran players kicker team martin gramatica ap reports ap commentary when the conference telephone rang today martin gramatica was getting prepared for break the news,1,bucs cut veteran kicker martin gramatica ap ap  when the telephone rang martin gramatica was prepared for the news
pen locking trick on bike locks sometimes could cost firms millions he on friday sought for a recall investigation of too many ushaped locks after word spread that an ordinary pen trick could still pick up what had otherwise been thought to be some of the toughest locks,2,pen trick on bike locks could cost firms millions on friday sought a recall of many ushaped locks after word spread that an ordinary pen could pick what had been thought to be some of the toughest locks
pen trick bits on bike locks could eventually cost power firms millions on friday sought for a recall of the many ushaped locks failed after word spread that being an essentially ordinary pen could pick what previous had been thought to be some of the toughest power locks,2,pen trick on bike locks could cost firms millions on friday sought a recall of many ushaped locks after word spread that an ordinary pen could pick what had been thought to be some of the toughest locks
a germ count study suggests bloodletting may work ap ap could that ancient practice of bleeding in patients should really have done themselves some good when a scientist says new molecular research on how germs all thrive in the body suggests it just may have took 151 hours for some people,3,germ study suggests bloodletting may work ap ap  could that ancient practice of bleeding patients really have done some good a scientist says new research on how germs thrive in the body suggests it just may have  151 for some people
3 bombings kill 16 in baghdad mosul at least 16 innocent people died drowning in suicide bombings in baghdad and mosul yesterday as insurgents stepped that up their bomb campaign trying to effectively undermine iraq 39s security forces and sow ethnic tensions hours before snap elections scheduled for 9 january,0,bombings kill 16 in baghdad mosul at least 16 people died in suicide bombings in baghdad and mosul yesterday as insurgents stepped up their campaign to undermine iraq 39s security forces and sow ethnic tensions before elections scheduled for january
once icann negotiates new domains so internet service users may soon rather see in two equivalent new private domain name suffixes in their browser name window quotpost quot to identify the wider postal community and postal quot,3,icann negotiates new domains internet users may soon see two new domain name suffixes in their browser window  quotpost quot to identify the postal community and  quot
house passes judiciary bill imposing prison serving time over 39spyware issue 39 mp the house on thursday night passed the second such bill in three coming days that would outlaw quotspyware the quot irritating software that quietly remotely monitors the activities of internet... users,3,house passes bill imposing prison time over  39spyware 39 the house on thursday passed the second bill in three days that would outlaw  quotspyware quot irritating software that quietly monitors the activities of internet users
gerrard was all set to make quite a spectacular comeback for england youth midfielder steven gerrard says he definitely is ready to make public his comeback for his liverpool at middlesbrough on monday saturday after a twomonth injury caused absence,1,gerrard all set to make a comeback england midfielder steven gerrard says he is ready to make his comeback for liverpool at middlesbrough on saturday after a twomonth injury absence
times pi staff vote to keep ties with twopapertown the group newspaper in a bitterly divided labor vote members of the pacific northwest newspaper founders guild have voted to be maintain financial secrecy and a legal unions support for time a group intervening in the legal dispute between seattle 39s daily newspapers,2,times pi staff vote to keep ties with twopapertown group in a divided vote members of the pacific northwest newspaper guild have voted to maintain financial and legal support for a group intervening in the legal dispute between seattle 39s daily newspapers
