text,label
sudan peace deal must tackle past abuses nairobi november 18 2004  the impunity enjoyed by the sudanese authorities in their ongoing atrocities in darfur demonstrates why the nearfinal peace deal to end the country 39s northsouth conflict must include accountability for human rights abuses,0
elton sells off photo collection sir elton john is to sell off part of his extensive photographic collection at an auction in new york,0
heathrow security breach to be investigated the department of transport says it will investigate claims of a security breach at heathrow airport after an undercover journalist reportedly entered restricted areas and walked unchecked and unnoticed around passenger aircraft due to take off,0
queen opens climate summit the queen is to open a conference on climate change today during her state visit to germany the gathering held at the british embassy in berlin will make recommendations on climate change to prime minister tony blair,0
zeta stalker kept signed book a woman accused of stalking catherine zeta jones owned a book signed by the actress a court hears,0
egypt signs trade deal with israel us amid criticism and ltbgtltbgt egypt wants jobs israel wants a meaningful peace on tuesday they signed an agreement that they hope will fulfill both their goals and maintain the momentum for revitalized mideast peace negotiations,0
signs of discord emerge as indopak ministers meet  new delhi reuters  signs of discord emerged between  india and pakistan as foreign ministers from the nucleararmed  rivals met on sunday to review and advance a peace process that  has faltered recently over kashmir,0
industrial park hostage to usnkorea ties reuters reuters  an industrial parkoffering cheap labor handy transport links and next door tomajor asian markets should be a powerful lure for manufacturerslooking for a competitive edge,0
un sends nuclear inspectors to s korea seoul south korea  the united nations nuclear watchdog will send a group of inspectors to south korea this week to help it complete a report in november on seoul 39s secret past nuclear experiments a south korean official said sunday,0
phish farewell attracts thousands jam band phish play their last gigs together at a special festival in the us which has attracted thousands of fans,0
poll kerry gaining among swing voters ap ap  democratic sen john kerry gained some ground on president bush among swing voters in the last month with several citing the presidential debates as a factor in their shift according to a poll released wednesday,0
iran wont abandon nuclear fuel program tehran iran  iran said sunday it would not abandon uranium enrichment rejecting a key demand by three european powers that have threatened to intensify pressure if tehran does not curb its nuclear program    foreign ministry spokesman hamid reza asefi said iran already had the technology required for its nuclear fuel cycle and would not reverse the situation,0
sunnis quit iraq government a major sunni political party has quit the interim iraqi government in protest over the us assault on the insurgent stronghold of fallujah the party 39s leader said yesterday,0
japan and us agree to cooperate in missile defence programs japan and the united states on friday agreed to boost cooperation in their missile defence programs  an important first step in carrying out new defence guidelines that ease tokyo 39s strict postwar pacifism,0
arafat 39s condition is improving aide says paris  yasser arafat 39s health is improving one of his aides said tuesday repeating that tests have ruled out leukemia as the cause of the palestinian leader 39s health problems,0
bombings kill 16 in baghdad mosul at least 16 people died in suicide bombings in baghdad and mosul yesterday as insurgents stepped up their campaign to undermine iraq 39s security forces and sow ethnic tensions before elections scheduled for january,0
two bombs explode in thailand injuring 20  two bombs exploded friday near a teashop and wounded 20 people in southern thailand police said asviolence continued unabated in the muslimmajority region whereresidents are seething over the deaths of 78 men while in,0
standoff bolstered sadrs support interviews with iraqi shiite clerics reveal that moderates are increasingly supporting sadrs antius campaign,0
former private school teacher to face criminal charges in court wednesday canadian press canadian press  toronto cp  a former upper canada college teacher made a brief court appearance monday to face sexual assault charges,0
abbas refugees will return to israel ap ap  mahmoud abbas the leading candidate in next weeks presidential election on monday promised palestinian refugees theyll be able to return home one day  151 his most explicit comment yet on an explosive issue that has derailed peace talks in the past,0
uk conservatives turn to iraq in bid to hurt blair reuters reuters  britains conservativeleader sought to capitalize on voters anger with tony blairover the iraq war as he started an uphill battle to push theprime minister from office in the next election,0
kabul bomb death toll rises up to 12 believed dead the toll from sunday 39s car bomb blast in kabul rose monday with different accounts from western security forces and afghan officials suggesting as many as a dozen people may have been killed,0
govt gives najaf militants final call najaf iraq  prime minister ayad allawi issued a final call thursday to shiite insurgents to disarm and withdraw from a revered shrine after his government threatened a massive onslaught by iraqi forces as a peace deal for najaf unraveled militants bombarded a police station with mortar rounds killing seven police and injuring 31 others,0
heat may have killed briton found dead in australian outback police afp afp  a british tourist found dead in the australian outback near its famed ayers rock may have died of heat exhaustion and exposure police said,0
soldier guilty of murdering iraqi a us soldier is expected to be sentenced today after being found guilty of murder for shooting a severely wounded iraqi civilian while the us army pressed its sole supplier of armoured humvees to increase production amid a growing domestic controversy,0
bushkerry draw sharp battle lines on iraq afp afp  two days of hard politicking on iraq have left the us presidential candidates locked into opposing visions george w bush sees a country marching towards democracy john kerry sees one descending into chaos,0
iraqi troops raid baghdad mosque 17 detained reuters reuters  hundreds of iraqi troops backed by usforces stormed a sunni muslim mosque in baghdad after fridayprayers killing four people and wounding at least ninewitnesses and an influential group of sunni clerics said,0
husband of aid worker seized in iraq pleads for release  baghdad reuters  the husband of margaret hassan a  britishiraqi aid worker snatched by kidnappers on her way to  work in baghdad this week appealed for her release on  thursday,0
sharon to present gaza timetable to mutinous party  jerusalem reuters  israeli prime minister ariel sharon  intends to present a timetable for withdrawal from gaza to  lawmakers from his likud party tuesday despite a mutiny in the  rightwing bloc over the plan,0
hamas leader mashaal surfaces in cairo ap ap  hamas leader khaled mashaal whos kept a low profile since last months twin suicide bombing in southern israel made a surprise visit to egypt on sunday but he deflated egyptian efforts to bring palestinian factions together,0
yemeni sentenced to death others jailed over limburg bombing sanaa aug 28  a yemeni was sentenced to death and 14 others to jail on saturday over the 2002 bombing of the french supertanker limburg and for other attacks an afp correspondent said,0
poll watchers to crowd voting venues ap ap  tens of thousands of poll monitors challengers lawyers and other activist observers are expected to clog voting precincts in battleground states tuesday in what will probably be the most scrutinized us election in at least 40 years,0
us fails to bring un into iran nuclear case vienna the united states once again failed friday to persuade the international atomic energy agency to refer iran 39s nuclear program to the united nations security council accepting instead a repetition of calls for the country to stop uranium enrichment,0
putin gets duma nod for reforms to boost power  moscow reuters  russias parliament backed on friday  president vladimir putins plan to scrap elections for  governors under sweeping political reforms aimed at  strengthening his grip on power,0
sadr city erupts anew baghdad 8 september 2004  fierce fighting between followers of shiite cleric moqtada sadr and us forces in the baghdad slum of sadr city yesterday killed at least 37 people including two american soldiers and injured over 200,0
bjp holds lalu responsible for delhi stampede bjp on sunday criticised railway minister lalu prasad over the stampede at new delhi railway station on saturday in which five people were killed and at least 10 injured,0
large explosions rock fallujah us marines fired artillery rounds at militants in this sunni insurgent stronghold west of baghdad on friday the military and witnesses said,0
video airs british hostage asking for troops withdrawal british aid worker margaret hassan kidnapped in iraq appeared in a video aired by arab tv station aljazeera asking british prime minister tony blair to withdraw troops,0
