text,label
what is a scenic route to view ocean in california,0
route drive to work with least traffic,0
whats the fastest route home,0
can you tell me how to get to universal city walk without using i4 from my house,0
is there anyway to avoid traffic,0
what is the route to take to avoid traffic,0
how can i get to work while avoiding the most people,0
what direction do i head from home to get to the kent state campus ?,0
is there a fast way to get to the airport for a 9 pm flight today ?,0
what is the shortest route from washington to montana,0
"from nasa in houston , send me directions to galveston .",0
get me driving directions to downtown cincinnati without construction leaving at 1 pm .,0
is the freeway the fastest way to get to the polka festival this morning ?,0
are there any shortcuts i can take to get from my job to allison 's house by 4 pm ?,0
driving directions to the closest hospital,0
can i have directions to new york,0
best route to paramount for the maine concert tomorrow,0
tell me the driving directions from my house to the utah shakespeare festival,0
are there other routes to charleston that do not take the interstates that will get me there by 9 pm tonight ?,0
"what route to raleigh , nc has no toll roads",0
"what is the fastest route to washington , dc",0
is there any way i can make it to the mall before it closes ?,0
should i take an alternate route home today,0
which way is faster to marks house,0
what is the fastest route home to avoid traffic,0
directions to nebraska tomorrow,0
fastest route to airport,0
take me to san antonio texas and no toll roads ?,0
show me the direction to home,0
is there a way to get to the hospital without construction ?,0
"get directions to disney world from tallahassee , florida , avoiding expressways .",0
get me the fastest way from home to dan 's house without taking the freeway and avoiding toll .,0
can i take a cab from berber dr to walton,0
i want to get to regional park in cerritos without using shoemaker blvd .,0
what is my quickest route to a walmart,0
display to work route,0
what is the quickest route from los angeles to san francisco,0
fastest route home,0
route through toll roads,0
find a good route to the dentist please,0
show me the fastest route home,0
"how do i take the long way to canton , ms",0
what 's the best route between edison and the weezer show ?,0
is there a faster route available,0
what route should i take to avoid traffic,0
fastest route to hospital,0
i need help getting to unisys today at 3 pm,0
"if i leave home now , tell me the fastest way to drive to savannah .",0
"give me directions to the state fair by taking toll roads , leaving at 10 in the morning .",0
give me my route home,0
how many miles between colorado and washington,1
what is the distance between baltimore and washington dc,1
distance between nyc and la,1
how far to durham ?,1
"how far from my house to seguin , tx",1
what is the distance between provo utah and denver colorado,1
what is the mileage between salina and hays,1
what is the distance between rochester and new york city,1
what 's the distance between salem and newberg,1
how far from my house to sweetwater tennessee,1
"mileage , by flight , between alabama and georgia",1
how many miles is it from la to hawaii,1
what 's the distance between charlotte and tampa,1
how far is charleston sc from here,1
what is the distance between washington dc and newark new jersey,1
how far is it to minneapolis,1
"what is the distance between key west , florida and huntington , new york",1
how many miles is it from atlanta to savannah,1
miles from greenville to charleston,1
how far is miami from new york by car,1
how far is portland from san francisco,1
how many miles between san juan and minneapolis,1
what 's the distance from toledo to cincinnati and miles by car,1
how many miles between seattle and new york,1
how far is hawaii from the continental u.s,1
how far is chicago to milwaukee,1
what 's the distance between minneapolis and san francisco,1
tell me the distance between here and merrill,1
what is the distance between new york and florida,1
how many miles to japan,1
"how far is it from salt lake city , ut to portland , oregon",1
how many miles between baltimore to new york city,1
new york to new jersey how many miles,1
what 's the distance between boston and las vegas,1
how many miles is fl,1
distance between mobile alabama and fairhope al,1
what is the distance from my house to tina 's house,1
how far is los angeles from rialto,1
"how many miles from here to iselin , new jersey ?",1
"how many miles is it between tulsa , ok and oklahoma city , ok",1
distance to salt lake city,1
how far away is georgia from hawaii,1
how many miles is it from biloxi to new orleans,1
distance from home to movie theatre,1
how far am i from the nearest rest stop,1
how many mile between austin and dallas,1
how far is the airport from here,1
what is the distance from murfreesboro to lakeland florida,1
how far is the stadium from my current location ?,1
what is the distance between los angeles and honolulu,1
can i get to my breakfast meeting on time if i leave in 5 minutes ?,2
"if started at 3 pm today , will i be on time for sharks v . oilers match starting at 5 pm .",2
what time will i be at work if i leave now,2
"if i leave texas stadium at 10 : 30 pm , what time will i get home",2
if i leave at 9 am will i make it to solon by 10 am from lakeview,2
can i get to the doctor 's office in 15 minutes if i leave home by 12pm ?,2
"can i get from here to naperville , illinois by 10 am ?",2
can i get from here to vancouver tonight at 7 ?,2
when will i get to gilbert ?,2
can i get from here to galveston before 6 pm ?,2
will i make it to the movies in time,2
will i make it home by six,2
if i leave art festival at 9 pm what time i will make it home ?,2
if i take the 11 hwy can i make it to yuma by 4 pm,2
when will i arrive at the mall if i leave my house at 7 : 15,2
"if i leave here at 8 am , when will i get to work ?",2
can i get to bellevue by 9 : 00 with the current traffic conditions ?,2
what is my eta until home,2
if i leave heb in 5 minutes what time would i get home ?,2
what time will i arrive to the doctor 's if i leave now ?,2
what is my new estimated arrival time if i take the street roads instead of the freeway,2
if we leave church at 12 pm at what time we will be in uncle 's tom house,2
"when would i arrive in trenton , nj if i left now and took i - 75",2
will i make it to my girlfriend 's by 5 pm ?,2
will i get to the zoo by noon using the freeway ?,2
if i take the bus now can i reach my work by 7 am ?,2
leaving in 5 min will i make it to the concert ontime if i stop to pick up monica ?,2
when will i get home,2
"if i leave here in 5 minutes , can i make it to the vet appointment by 3 ?",2
will i get home on time if i leave work right now,2
can i get cairo by 7 pm by bus today ?,2
will i make it to sister 's house by 6 pm for dinner if i leave by 4 : 30 pm,2
"if i leave here at 5 am , when will i get to santa cruz ?",2
can i make it to providence in 10 minutes right now,2
when can i expect to arrive in st . louis if i leave tomorrow at 8 am ?,2
what time will i arrive at work with the construction ?,2
when am i expected to get to the airport,2
will i be at the barclay 's center by 7 pm under current traffic conditions,2
when will i get to my aunt 's house if i leave now ?,2
can i get to london by 5,2
"if i leave in 5 minutes , when will i arrive at my destination",2
if i leave now when will i be at granny 's without using the freeways,2
tell me when will i arrive at jim 's if i leave now .,2
can i get to the party before 6 pm if i picked up john and jose,2
"if i leave in an hour , what time will i get to portland ?",2
"if i walk , can i make it to pv days before noon ?",2
will i have time to ride my bike to family video and be there by 4 : 30 ?,2
can i get to georgia before noon if i leave now ?,2
what time will abeer arrive here if she left her clinic at 7 pm ?,2
can i get to wall street by 11 : 00 pm with taxi ?,2
if the meeting starts at 9 am what time will i have to leave my mom ; s home,3
when should i leave to get to town by noon,3
"i have a doctors appointment at 2 pm , do i need to leave now to make it on time ?",3
what time should i leave to make it to the cheer concert by 5 : 30 pm tomorrow ?,3
what time do i have to leave home to get to medinah country club by 7 am,3
"if i want to make it to ny city by 12 pm , what time i need to leave my house in the morning",3
what time should i leave to make it to the lil kim concert at 9 pm ?,3
what time should i leave to make it to my 9 : 00 a.m . meeting,3
what time should i leave here to get to the cruise ship dock by 6am tomorrow morning ?,3
what time do i need to leave work from to make it to madison square garden by 9 pm,3
what time should i leave my house to get downtown by 5 pm,3
when should i leave if i want to bike to grovertown by 2 ?,3
what time should i leave on sunday morning if i need to be in columbia by 10 am,3
"i have a meeting in downtown denver at 3 pm , when should i leave to get there on time and avoid heavy traffic",3
i need to be in memphis by noon when should i leave ?,3
what time should i leave work if i want to get home at 4 pm,3
"the party starts at 8 on saturday in white house , what time to i need to leave carthage to make it on time .",3
what time should i leave to make it to the concert by 9 pm ?,3
when should i leave home to get to work by 9 pm ?,3
what time should i depart from chris ' house to get to work by 9 am on friday morning ?,3
what time should i leave to make it to the concert by 6 pm ?,3
what time do i need to leave to make a 7 : 00 movie at b & b ?,3
when do i need to leave tonight ?,3
when should i leave if i want to make the girl 's brunch at 3 pm ?,3
what time must i leave my house to arrive at the nyc city hall by 10 a.m using public transportation,3
what time do i need to leave my dentist appointment to make it to my doctor 's appointment at 2 ?,3
my brother wants to meet at his house at 10 pm when should i leave my sisters using highway 88,3
what time do i need to leave to get to the dentist by 2 pm if i take the streets ?,3
when should we leave la to get six flags if we want to be therer by 10 am ?,3
what time will i need to leave to make it to the houston rocket 's game by 8 p.m . ?,3
what time should i leave to make it to the jubilee center by five,3
what time should i leave to make it to my cousin 's house by noon ?,3
when should i leave to get to work at 8 am,3
when should i leave to get to winnipeg by 6 pm ?,3
what time do i need to leave home by to get to fred meyer 's by 9 : 30 pm ?,3
when do i need to leave home to get to the party by 5,3
"if i want to be in dallas , texas by 10 a.m . tomorrow , what time do i need to leave my house ?",3
when can i leave to catch my son 's birthday at 9 pm ?,3
i want to be at my daughter 's by 8 am what time should i leave,3
what time should i leave to make it to the liverpool game today ?,3
what time should i leave to make it to the lakers game by 6 pm ?,3
what time do i have to leave lynnwood to arrive in bothell by 8 am ?,3
what time should i head out the door for the fiesta especial to make it by noon ?,3
what time should i leave kris hair salon to reach heba 's wedding before 7 pm ?,3
what time do i need to leave vail to get home by 8 tonight,3
what time do i need to leave my house to get to my doctor 's appointment on monday at 2 pm ?,3
what time should i leave if i need to be at carolina ave . dental by 3 pm,3
what time should i leave to make it to work at 8 am,3
what time should i leave the office if i want to be in the national museum at 5 pm ?,3
when should i leave to be at rachel 's by 5 pm ?,3
how long would it take to drive from home to san francisco,4
how long will it take me to get to work this morning,4
"if i leave by noon , how long will it take me to get to south park by bus ?",4
how many hours is it from syracuse to watertown,4
how long will it take me to get to omar 's house from here if i leave in 15 minutes ?,4
how long will it take me to get to jane 's house if i leave in 10 minutes,4
get the time it will take to get home on the i - 10 .,4
how long will it take me to get to my noon meeting if i take the back roads ?,4
what is this morning 's commute time,4
how long is the travel time to waikiki if i leave in 10 minutes,4
how long before we get to the haunted house on h street,4
how long is my drive to work if i leave now,4
how long does it take to drive from dallas to houston if i leave at 10 am,4
how long will i get to the edc rave if i drive along the las vegas boulevard ?,4
how long will it take me to drive from bellingham to seattle,4
how long would it take me to go to walmart,4
calculate the time it would take to get to san francisco from seattle if traveling at 65 mph,4
how long is my drive home from spokane,4
what is the driving time between philadelphia and richmond,4
how long will it be till i arrive in virginia beach if i leave in an hour ?,4
if i leave in 5 minutes how long will it take me to get to work ?,4
"leaving my meeting at 3 : 15 and taking the freeway home , how long would it take me ?",4
how long is drive home,4
how long will it take me to get to nichole 's house from the gym if i leave at 6 : 15 p.m . ?,4
how long will it take me to get to guarulhos airport from here if i leave right now ?,4
what 's the drive time from philly to boston,4
how long with it take me to get to the office this morning,4
can you tell me how long it will take me to get to charlotte,4
how long is my drive to oceanside,4
"calculate how long it will take for me to drive from moscow , pa to portland , or .",4
how much time will it take to get to edison if i leave now ?,4
how much driving time is needed from cupertino to san jose .,4
time it would take to get from oakland to san francisco via the golden gate bridge,4
how much of this travel time is a delay because of construction ?,4
how many minutes will i spend waiting in traffic,4
how long will it take me to get to san francsico china town from here if i leave now ?,4
how long will it take to get to joe 's house if i leave at 8 am,4
how long does the train take to chicago,4
how long will it take me to get to elmwood park zoo,4
how long is it to go around this construction,4
how long will it take me to get to cindy 's house ?,4
how long will i be in traffic for,4
how long do i take to go home from here,4
how long is the drive to the catskills from pennsylvania,4
how long will it take me to get to new york city with traffic,4
how long is my commute home tonight,4
how long is the drive between hartford conneticut and charlotte north carolina,4
how many hours will take to go to seattle,4
how long will it take to get to my doctors appointment at 3 pm if i don't take the highway,4
"how long will it take me to get to tawnia 's house in boise , if i leave my mom 's house now ?",4
tell me where black ice advisories are,5
is there any snow or ice on the roads to grandma 's house ?,5
is there flooding on the freeway right now ?,5
are the roads to the nearest hospital clear ?,5
what are road conditions in tampa,5
we have got a lot of rain are there any local roads closed because of it .,5
is there flooding downtown by the fort pitt bridge going into town ?,5
are there any icy roads on the way to my massage appointment ?,5
are the airlines shut down due to weather,5
are the roads to my office plowed yet,5
is it raining through the route i need to go to work right now,5
are the roads slick,5
is there any flooding on the way to delta park from my house ?,5
has the rain caused any flooding on my route home ?,5
is there a downed power line on barton road ?,5
is there any flooding aking place on galm road right now ?,5
is the fog slowing down freeway 5,5
do rain affect my route to motorbike race in hilwan ?,5
how are the road conditions in the dallas metroplex ?,5
is there flooding on river rd ?,5
are the roads icy on the way to kim 's tonight ?,5
what is the weather like for driving today ?,5
are the local roads icy ?,5
is the bridge still out on the northbound lane of hwy 331,5
will i encounter flooding on 8mile this morning ?,5
what do the current road conditions between work and home look like if i leave now ?,5
are the any icy road conditions on i 77 this morning,5
how is the road conditions today ? any danger ?,5
is there snow on my route to flagstaff ?,5
did the rain affect driving to my uncle safwat ?,5
are the road to main st in portland fuggy this morning ?,5
is there flooding on the new jersey turnpike south heading towards philadelphia today ?,5
are there any trees down on orange road in athol ?,5
what are the road conditions on i - 10 ?,5
are the roads slick this morning ?,5
"if i here now , will i drive through flooding on the way to the bank ?",5
are the roads icy near my house ?,5
are there any flooding in the belt parkway ?,5
how snowy are the roads that go to toledo today,5
have the roads between here and the devil 's game been plowed ?,5
will the roads be cleared if i leave now to get to 5th ave ?,5
is there any downed power to giza city ?,5
is there any flooding on the roads this afternoon ?,5
how are road conditions,5
is there any fog on hwy 43 between greenville and conetoe this morning ?,5
is there signs of black ice on the way to reno,5
are the roads near work icy ?,5
can i drive the bike in fort collins this morning due to the road conditions,5
is there flooding by the marina ?,5
is there heavy rain in the freeway ?,5
should i avoid the 91 today,6
is traffic bad this morning,6
how 's my commute home looking,6
what is the traffic driving from glendale to surprise,6
traffic in philadelphia please,6
driving in to baltimore what 's the traffic like,6
is traffic backed up on rt 690,6
where is traffic heaviest on the way to work,6
is there light traffic today,6
is there heavy traffic going to homer glen on wednesday at 8 am,6
how is traffic on my street today,6
how is traffic driving from tampa to miami if i leave by 5 am,6
is construction ongoing on 4th avenue,6
show me detours to the bruins ' game .,6
traffic detours,6
what is the traffic on the fl turnpike today,6
what is the traffic like driving from los angeles to san francisco,6
any obstructions on my way to work,6
traffic on the i - 10 east,6
how bad is the traffic today,6
what will the traffic this holiday weekend supposed to be like,6
please show me any detours for going home right now avoiding all highways,6
